Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,2.459312,2.603994,2.757621,3.027282,3.3464,3.686659,4.011499,4.214527,4.419354
1,3.39089,3.566165,3.752603,4.080792,4.4709,4.889123,5.290726,5.542933,5.798331
2,4.31889,4.522344,4.738362,5.117754,5.5675,6.048448,6.509323,6.798348,7.090758
3,5.018434,5.240269,5.475519,5.888058,6.3762,6.897306,7.395936,7.708329,8.024169
4,5.561377,5.797135,6.046988,6.484777,7.0023,7.554286,8.082087,8.412602,8.746662
5,5.996672,6.244465,6.507016,6.966941,7.5105,8.090161,8.644384,8.991445,9.342238
6,6.352967,6.611702,6.885864,7.366195,7.934,8.539707,9.119041,9.481939,9.848832
7,6.653301,6.922131,7.207057,7.706413,8.297,8.927371,9.530656,9.908738,10.29113
8,6.913126,7.19127,7.486158,8.003205,8.6151,9.268678,9.894622,10.28713,10.68428
9,7.144822,7.431644,7.735837,8.26946,8.9014,9.5769,10.22433,10.63055,11.04177
10,7.356558,7.651572,7.964565,8.5139,9.1649,9.861313,10.5293,10.94868,11.37341
11,7.55441,7.857229,8.178615,8.742959,9.4122,10.12867,10.81641,11.24845,11.6862
12,7.742219,8.052577,8.382077,8.960956,9.6479,10.38387,11.09087,11.53526,11.98574
13,7.922091,8.239848,8.577324,9.170505,9.8749,10.63014,11.35618,11.81281,12.27589
14,8.095984,8.421033,8.76637,9.373665,10.0953,10.86959,11.61449,12.08325,12.55884
15,8.265127,8.597424,8.950586,9.571948,10.3108,11.10416,11.86797,12.34891,12.83707
16,8.430734,8.770274,9.13126,9.7667,10.5228,11.33528,12.11808,12.61125,13.11206
17,8.593128,8.939942,9.308795,9.958406,10.7319,11.5637,12.36571,12.87128,13.38491
18,8.752902,9.107002,9.483736,10.14755,10.9385,11.7897,12.61101,13.12906,13.65558
19,8.909889,9.27136,9.656076,10.33431,11.143,12.01396,12.855,13.38579,13.92552
20,9.065209,9.434095,9.826848,10.51961,11.3462,12.23713,13.09811,13.64181,14.19492
21,9.219037,9.595435,9.996335,10.70383,11.5486,12.45983,13.3411,13.89795,14.46469
22,9.371554,9.755556,10.16471,10.88716,11.7504,12.6823,13.58426,14.15453,14.7352
23,9.522741,9.914417,10.33191,11.06946,11.9514,12.90424,13.82718,14.41108,15.0059
24,10.38209,10.64009,11.05266,11.78598,12.67076,13.63692,14.5834,15.18777,15.59648
24.5,10.44144,10.70051,11.1149,11.85182,12.74154,13.71386,14.66716,15.2763,15.68841
25.5,10.55847,10.81958,11.23747,11.98142,12.88102,13.8659,14.83332,15.45242,15.8717
26.5,10.6738,10.93681,11.35806,12.10889,13.01842,14.01623,14.99848,15.62819,16.05514
27.5,10.78798,11.0528,11.47728,12.23491,13.1545,14.16567,15.16351,15.8045,16.23967
28.5,10.90147,11.16803,11.59567,12.36007,13.2899,14.31493,15.32917,15.98214,16.42609
29.5,11.01466,11.28293,11.71368,12.4849,13.42519,14.46462,15.4961,16.16177,16.61508
30.5,11.12787,11.39782,11.8317,12.60983,13.56088,14.61527,15.66485,16.34395,16.8072
31.5,11.24135,11.513,11.95005,12.73523,13.69738,14.76732,15.83588,16.52915,17.00291
32.5,11.3553,11.62869,12.069,12.86144,13.83505,14.92117,16.00958,16.71773,17.2026
33.5,11.46988,11.74508,12.18875,12.9887,13.97418,15.07711,16.18624,16.91,17.40654
34.5,11.58521,11.8623,12.30948,13.11723,14.11503,15.23541,16.36612,17.10619,17.61495
35.5,11.70137,11.98046,12.43132,13.24721,14.2578,15.39628,16.5494,17.30646,17.82797
36.5,11.81842,12.09962,12.55436,13.37875,14.40263,15.55987,16.73623,17.51093,18.0457
